"Membership Type","Bike","  Checkout Date","Checkout Time","Checkout Kiosk","Return Kiosk","Duration (Minutes)"
"24-Hour Kiosk (Austin B-cycle)","983.0","5/1/2014","13:12:00","Convention Center / 4th St. @ MetroRail","Capitol Station / Congress & 11th","13.0"
"Annual Membership (Austin B-cycle)","947.0","5/1/2014","13:12:00","Palmer Auditorium","Palmer Auditorium","37.0"
"Annual Membership (Austin B-cycle)","966.0","5/1/2014","13:12:00","Palmer Auditorium","Palmer Auditorium","37.0"
"24-Hour Kiosk (Austin B-cycle)","282.0","5/1/2014","13:12:00","2nd & Congress","2nd & Congress","0.0"
"24-Hour Kiosk (Austin B-cycle)","663.0","5/1/2014","13:12:00","5th & Bowie","5th & Bowie","0.0"
"24-Hour Kiosk (Austin B-cycle)","663.0","5/1/2014","13:12:00","5th & Bowie","5th & Bowie","4.0"
"24-Hour Kiosk (Austin B-cycle)","104.0","5/1/2014","13:12:00","Riverside @ S. Lamar","South Congress & James","18.0"
"Annual Membership (Austin B-cycle)","558.0","5/1/2014","13:12:00","Bullock Museum @ Congress & MLK","2nd & Congress","12.0"
"24-Hour Kiosk (Austin B-cycle)","663.0","5/1/2014","13:12:00","5th & Bowie","5th & Bowie","0.0"
"24-Hour Kiosk (Austin B-cycle)","447.0","5/1/2014","13:12:00","5th & Bowie","ACC - West & 12th","7.0"
"24-Hour Kiosk (Austin B-cycle)","869.0","5/1/2014","13:12:00","2nd & Congress","Riverside @ S. Lamar","20.0"
"Annual Membership (Austin B-cycle)","910.0","5/1/2014","13:12:00","Barton Springs & Riverside","Barton Springs & Riverside","21.0"
"24-Hour Kiosk (Austin B-cycle)","459.0","5/1/2014","13:12:00","South Congress & Academy","Riverside @ S. Lamar","20.0"
"24-Hour Kiosk (Austin B-cycle)","281.0","5/1/2014","13:12:00","South Congress & Academy","Riverside @ S. Lamar","19.0"
"Annual Membership (Austin B-cycle)","958.0","5/1/2014","13:12:00","UT West Mall @ Guadalupe","ACC - West & 12th","8.0"
"24-Hour Kiosk (Austin B-cycle)","517.0","5/1/2014","13:12:00","City Hall / Lavaca & 2nd","Pfluger Bridge @ W 2nd Street","8.0"
"24-Hour Kiosk (Austin B-cycle)","191.0","5/1/2014","13:12:00","City Hall / Lavaca & 2nd","Pfluger Bridge @ W 2nd Street","144.0"
"24-Hour Kiosk (Austin B-cycle)","668.0","5/1/2014","13:12:00","City Hall / Lavaca & 2nd","Pfluger Bridge @ W 2nd Street","7.0"
"24-Hour Kiosk (Austin B-cycle)","981.0","5/1/2014","13:12:00","City Hall / Lavaca & 2nd","Pfluger Bridge @ W 2nd Street","6.0"
"24-Hour Kiosk (Austin B-cycle)","975.0","5/1/2014","13:12:00","City Hall / Lavaca & 2nd","Pfluger Bridge @ W 2nd Street","6.0"
"24-Hour Kiosk (Austin B-cycle)","266.0","5/1/2014","13:12:00","5th & Bowie","Davis at Rainey Street","42.0"
"24-Hour Kiosk (Austin B-cycle)","661.0","5/1/2014","13:12:00","5th & Bowie","Davis at Rainey Street","41.0"
"Annual Membership (Austin B-cycle)","176.0","5/1/2014","13:12:00","4th & Congress","West & 6th St.","10.0"
"Annual Membership (Austin B-cycle)","425.0","5/1/2014","13:12:00","4th & Congress","West & 6th St.","10.0"
"24-Hour Kiosk (Austin B-cycle)","925.0","5/1/2014","13:12:00","Riverside @ S. Lamar","Riverside @ S. Lamar","20.0"
"24-Hour Kiosk (Austin B-cycle)","281.0","5/1/2014","13:12:00","Riverside @ S. Lamar","5th & Bowie","12.0"
"24-Hour Kiosk (Austin B-cycle)","459.0","5/1/2014","13:12:00","Riverside @ S. Lamar","5th & Bowie","12.0"
"Annual Membership (Austin B-cycle)","367.0","5/1/2014","13:12:00","8th & Congress","City Hall / Lavaca & 2nd","3.0"
"24-Hour Kiosk (Austin B-cycle)","1000.0","5/1/2014","13:12:00","East 11th St. & San Marcos","6th & Navasota St.","55.0"
"24-Hour Kiosk (Austin B-cycle)","962.0","5/1/2014","13:12:00","East 11th Street at Victory Grill","Trinity & 6th Street","9.0"
"Annual Membership (Austin B-cycle)","302.0","5/1/2014","13:12:00","3rd & West","5th & Bowie","1.0"
"24-Hour Kiosk (Austin B-cycle)","461.0","5/1/2014","13:12:00","ACC - Rio Grande & 12th","8th & Congress","18.0"
"24-Hour Kiosk (Austin B-cycle)","442.0","5/1/2014","13:12:00","UT West Mall @ Guadalupe","ACC - West & 12th","10.0"
"24-Hour Kiosk (Austin B-cycle)","190.0","5/1/2014","14:12:00","East 11th St. & San Marcos","Trinity & 6th Street","12.0"
"24-Hour Kiosk (Austin B-cycle)","340.0","5/1/2014","14:12:00","East 11th St. & San Marcos","Trinity & 6th Street","11.0"
"24-Hour Kiosk (Austin B-cycle)","407.0","5/1/2014","14:12:00","Zilker Park at Barton Springs & William Barton Drive","South Congress & Elizabeth","19.0"
"Annual Membership (Austin B-cycle)","114.0","5/1/2014","14:12:00","Convention Center / 4th St. @ MetroRail","West & 6th St.","6.0"
"24-Hour Kiosk (Austin B-cycle)","223.0","5/1/2014","14:12:00","Zilker Park at Barton Springs & William Barton Drive","South Congress & Elizabeth","17.0"
"24-Hour Kiosk (Austin B-cycle)","442.0","5/1/2014","14:12:00","ACC - West & 12th","Riverside @ S. Lamar","14.0"
"Annual Membership (Austin B-cycle)","80.0","5/1/2014","14:12:00","6th & Navasota St.","4th & Congress","10.0"
"24-Hour Kiosk (Austin B-cycle)","522.0","5/1/2014","14:12:00","State Parking Garage @ Brazos & 18th","Davis at Rainey Street","13.0"
"24-Hour Kiosk (Austin B-cycle)","104.0","5/1/2014","14:12:00","South Congress & James","South Congress & Elizabeth","53.0"
"Annual Membership (Austin B-cycle)","367.0","5/1/2014","14:12:00","City Hall / Lavaca & 2nd","City Hall / Lavaca & 2nd","15.0"
"24-Hour Kiosk (Austin B-cycle)","235.0","5/1/2014","14:12:00","Riverside @ S. Lamar","Convention Center / 4th St. @ MetroRail","30.0"
"24-Hour Kiosk (Austin B-cycle)","356.0","5/1/2014","14:12:00","Riverside @ S. Lamar","Convention Center / 4th St. @ MetroRail","29.0"
"24-Hour Kiosk (Austin B-cycle)","442.0","5/1/2014","14:12:00","Riverside @ S. Lamar","Riverside @ S. Lamar","29.0"
"24-Hour Kiosk (Austin B-cycle)","925.0","5/1/2014","14:12:00","Riverside @ S. Lamar","Riverside @ S. Lamar","1.0"
"24-Hour Kiosk (Austin B-cycle)","925.0","5/1/2014","14:12:00","Riverside @ S. Lamar","Riverside @ S. Lamar","86.0"
"24-Hour Kiosk (Austin B-cycle)","157.0","5/1/2014","14:12:00","State Capitol @ 14th & Colorado","UT West Mall @ Guadalupe","15.0"
"24-Hour Kiosk (Austin B-cycle)","575.0","5/1/2014","14:12:00","State Capitol @ 14th & Colorado","UT West Mall @ Guadalupe","14.0"
"24-Hour Kiosk (Austin B-cycle)","459.0","5/1/2014","14:12:00","5th & Bowie","5th & Bowie","79.0"
"24-Hour Kiosk (Austin B-cycle)","281.0","5/1/2014","14:12:00","5th & Bowie","5th & Bowie","76.0"
"24-Hour Kiosk (Austin B-cycle)","417.0","5/1/2014","14:12:00","East 11th Street at Victory Grill","8th & Congress","82.0"
"24-Hour Kiosk (Austin B-cycle)","650.0","5/1/2014","14:12:00","South Congress & James","8th & Congress","27.0"
"24-Hour Kiosk (Austin B-cycle)","969.0","5/1/2014","14:12:00","Bullock Museum @ Congress & MLK","4th & Congress","21.0"
"24-Hour Kiosk (Austin B-cycle)","409.0","5/1/2014","14:12:00","Bullock Museum @ Congress & MLK","4th & Congress","20.0"
"24-Hour Kiosk (Austin B-cycle)","800.0","5/1/2014","14:12:00","South Congress & James","8th & Congress","24.0"
"24-Hour Kiosk (Austin B-cycle)","442.0","5/1/2014","14:12:00","Riverside @ S. Lamar","Zilker Park at Barton Springs & William Barton Drive","9.0"
"24-Hour Kiosk (Austin B-cycle)","75.0","5/1/2014","14:12:00","2nd & Congress","5th & Bowie","16.0"
"24-Hour Kiosk (Austin B-cycle)","285.0","5/1/2014","14:12:00","State Capitol Visitors Garage @ San Jacinto & 12th","State Parking Garage @ Brazos & 18th","8.0"
"24-Hour Kiosk (Austin B-cycle)","124.0","5/1/2014","14:12:00","State Capitol Visitors Garage @ San Jacinto & 12th","State Parking Garage @ Brazos & 18th","8.0"
"24-Hour Kiosk (Austin B-cycle)","16.0","5/1/2014","14:12:00","Waller & 6th St.","4th & Congress","13.0"
"24-Hour Kiosk (Austin B-cycle)","558.0","5/1/2014","15:12:00","2nd & Congress","2nd & Congress","49.0"
"Annual Membership (Austin B-cycle)","991.0","5/1/2014","15:12:00","Long Center @ South 1st & Riverside","Convention Center / 4th St. @ MetroRail","9.0"
"Annual Membership (Austin B-cycle)","980.0","5/1/2014","15:12:00","Plaza Saltillo","5th & Bowie","16.0"
"24-Hour Kiosk (Austin B-cycle)","397.0","5/1/2014","15:12:00","Barton Springs & Riverside","South Congress & Academy","76.0"
"24-Hour Kiosk (Austin B-cycle)","647.0","5/1/2014","15:12:00","Barton Springs & Riverside","South Congress & Academy","76.0"
"24-Hour Kiosk (Austin B-cycle)","177.0","5/1/2014","15:12:00","Bullock Museum @ Congress & MLK","2nd & Congress","14.0"
"24-Hour Kiosk (Austin B-cycle)","878.0","5/1/2014","15:12:00","Long Center @ South 1st & Riverside","Capitol Station / Congress & 11th","44.0"
"24-Hour Kiosk (Austin B-cycle)","52.0","5/1/2014","15:12:00","Long Center @ South 1st & Riverside","Capitol Station / Congress & 11th","43.0"
"Founding Member (Austin B-cycle)","588.0","5/1/2014","15:12:00","Capitol Station / Congress & 11th","Barton Springs & Riverside","8.0"
"24-Hour Kiosk (Austin B-cycle)","302.0","5/1/2014","15:12:00","5th & Bowie","Riverside @ S. Lamar","8.0"
"24-Hour Kiosk (Austin B-cycle)","75.0","5/1/2014","15:12:00","5th & Bowie","Riverside @ S. Lamar","8.0"
"Annual Membership (Austin B-cycle)","937.0","5/1/2014","15:12:00","UT West Mall @ Guadalupe","City Hall / Lavaca & 2nd","10.0"
"24-Hour Kiosk (Austin B-cycle)","329.0","5/1/2014","15:12:00","Trinity & 6th Street","East 11th St. & San Marcos","26.0"
"24-Hour Kiosk (Austin B-cycle)","593.0","5/1/2014","15:12:00","Trinity & 6th Street","East 11th St. & San Marcos","25.0"
"24-Hour Kiosk (Austin B-cycle)","869.0","5/1/2014","15:12:00","Riverside @ S. Lamar","Riverside @ S. Lamar","133.0"
"24-Hour Kiosk (Austin B-cycle)","302.0","5/1/2014","15:12:00","Riverside @ S. Lamar","Riverside @ S. Lamar","132.0"
"Founding Member (Austin B-cycle)","299.0","5/1/2014","15:12:00","Republic Square @ Guadalupe & 4th St.","Convention Center / 4th St. @ MetroRail","6.0"
"24-Hour Kiosk (Austin B-cycle)","207.0","5/1/2014","15:12:00","6th & Navasota St.","Trinity & 6th Street","31.0"
"24-Hour Kiosk (Austin B-cycle)","716.0","5/1/2014","15:12:00","6th & Navasota St.","Trinity & 6th Street","29.0"
"24-Hour Kiosk (Austin B-cycle)","193.0","5/1/2014","15:12:00","ACC - Rio Grande & 12th","4th & Congress","40.0"
